"defense","rushing_yds","year"
"392","ARI",1,"2015"
"393","SEA",-4,"2015"
"394","SEA",9,"2015"
"395","SEA",5,"2015"
"396","SEA",5,"2015"
"397","SEA",12,"2015"
"398","SEA",2,"2015"
"399","SEA",4,"2015"
"400","SEA",5,"2015"
"401","SEA",12,"2015"
"402","SEA",8,"2015"
"403","SEA",-2,"2015"
"404","SEA",2,"2015"
"405","SEA",3,"2015"
"406","SEA",5,"2015"
"407","SEA",-2,"2015"
"408","SEA",2,"2015"
"409","SEA",1,"2015"
"410","SEA",4,"2015"
"411","SEA",0,"2015"
"412","SEA",3,"2015"
"413","OAK",3,"2015"
"414","OAK",8,"2015"
"415","OAK",0,"2015"
"416","OAK",3,"2015"
"417","OAK",8,"2015"
"418","OAK",10,"2015"
"419","OAK",-1,"2015"
"420","OAK",2,"2015"
"421","OAK",12,"2015"
"422","OAK",10,"2015"
"423","OAK",0,"2015"
"424","OAK",11,"2015"
"425","OAK",3,"2015"
"426","OAK",0,"2015"
"427","OAK",0,"2015"
"428","OAK",2,"2015"
"429","OAK",1,"2015"
"430","OAK",1,"2015"
"431","OAK",4,"2015"
"432","OAK",4,"2015"
"433","OAK",0,"2015"
"434","OAK",2,"2015"
"435","OAK",0,"2015"
"436","OAK",6,"2015"
"437","OAK",2,"2015"
"438","KC",3,"2015"
"439","KC",2,"2015"
"440","KC",5,"2015"
"441","KC",7,"2015"
"442","KC",2,"2015"
"443","KC",3,"2015"
"444","KC",3,"2015"
"445","KC",5,"2015"
"446","KC",4,"2015"
"447","KC",-1,"2015"
"448","KC",4,"2015"
"449","KC",10,"2015"
"450","KC",1,"2015"
"451","KC",10,"2015"
"452","KC",4,"2015"
"453","KC",5,"2015"
"454","KC",0,"2015"
"455","KC",4,"2015"
"456","DET",8,"2015"
"457","DET",4,"2015"
"458","DET",-1,"2015"
"459","DET",1,"2015"
"460","DET",9,"2015"
"461","DET",5,"2015"
"462","DET",5,"2015"
"463","DET",2,"2015"
"464","DET",-1,"2015"
"465","DET",0,"2015"
"466","DET",2,"2015"
"467","DET",3,"2015"
"468","DET",11,"2015"
"469","DET",6,"2015"
"470","DET",1,"2015"
"471","DET",0,"2015"
"472","DET",2,"2015"
"473","DET",2,"2015"
"474","DET",5,"2015"
"475","DET",1,"2015"
"476","DET",1,"2015"
"477","DET",0,"2015"
"478","DET",2,"2015"
"479","DET",1,"2015"
"480","MIN",5,"2015"
"481","MIN",3,"2015"
"482","MIN",3,"2015"
"483","MIN",4,"2015"
"484","MIN",14,"2015"
"485","MIN",0,"2015"
"486","MIN",3,"2015"
"487","MIN",3,"2015"
"488","MIN",5,"2015"
"489","MIN",1,"2015"
"490","GB",0,"2015"
"491","GB",7,"2015"
"492","GB",1,"2015"
"493","GB",6,"2015"
"494","GB",2,"2015"
"495","GB",4,"2015"
"496","GB",3,"2015"
"497","GB",7,"2015"
"498","GB",4,"2015"
"499","GB",0,"2015"
"500","GB",4,"2015"
"501","GB",0,"2015"
"502","GB",3,"2015"
"503","GB",-2,"2015"
"504","GB",5,"2015"
"505","SF",2,"2015"
"506","SF",2,"2015"
"507","SF",7,"2015"
"508","SF",1,"2015"
"509","SF",-2,"2015"
"510","SF",8,"2015"
"511","SF",7,"2015"
"512","SF",3,"2015"
"513","SF",14,"2015"
"514","SF",5,"2015"
"515","SF",2,"2015"
"516","SF",4,"2015"
"517","SF",4,"2015"
"518","SF",4,"2015"
"519","SF",3,"2015"
"520","SF",1,"2015"
"521","SF",2,"2015"
"522","SF",1,"2015"
"523","SF",15,"2015"
"524","SF",1,"2015"
"525","SF",0,"2015"
"526","WAS",3,"2015"
"527","WAS",5,"2015"
"528","WAS",4,"2015"
"529","WAS",2,"2015"
"530","WAS",7,"2015"
"531","WAS",4,"2015"
"532","WAS",10,"2015"
"533","WAS",7,"2015"
"534","WAS",0,"2015"
"535","WAS",3,"2015"
"536","MIN",13,"2015"
"537","MIN",0,"2015"
"538","MIN",5,"2015"
"539","MIN",5,"2015"
"540","MIN",4,"2015"
"541","MIN",9,"2015"
"542","MIN",2,"2015"
"543","MIN",9,"2015"
