"full_name","year","rushing_yds"
"82511","Adrian Peterson",2010,27
"82512","Adrian Peterson",2010,1
"82513","Adrian Peterson",2010,2
"82514","Adrian Peterson",2010,2
"82515","Adrian Peterson",2010,0
"82516","Adrian Peterson",2010,2
"82517","Adrian Peterson",2010,1
"82518","Adrian Peterson",2010,10
"82519","Adrian Peterson",2010,-6
"82520","Adrian Peterson",2010,2
"82521","Adrian Peterson",2010,0
"82522","Adrian Peterson",2010,0
"82523","Adrian Peterson",2010,1
"82524","Adrian Peterson",2010,3
"82525","Adrian Peterson",2010,9
"82526","Adrian Peterson",2010,3
"82527","Adrian Peterson",2010,6
"82528","Adrian Peterson",2010,-6
"82529","Adrian Peterson",2010,5
"82530","Adrian Peterson",2010,3
"76917","Adrian Peterson",2011,14
"76918","Adrian Peterson",2011,3
"76919","Adrian Peterson",2011,-2
"76920","Adrian Peterson",2011,2
"76921","Adrian Peterson",2011,1
"76922","Adrian Peterson",2011,2
"76923","Adrian Peterson",2011,5
"76924","Adrian Peterson",2011,3
"76925","Adrian Peterson",2011,46
"76926","Adrian Peterson",2011,3
"76927","Adrian Peterson",2011,4
"76928","Adrian Peterson",2011,5
"76929","Adrian Peterson",2011,7
"76930","Adrian Peterson",2011,5
"76931","Adrian Peterson",2011,2
"76932","Adrian Peterson",2011,-2
"76933","Adrian Peterson",2011,11
"76934","Adrian Peterson",2011,10
"76935","Adrian Peterson",2011,2
"76936","Adrian Peterson",2011,-1
"76937","Adrian Peterson",2011,12
"76938","Adrian Peterson",2011,2
"76939","Adrian Peterson",2011,4
"76940","Adrian Peterson",2011,1
"76941","Adrian Peterson",2011,-3
"76942","Adrian Peterson",2011,12
"76943","Adrian Peterson",2011,4
"76944","Adrian Peterson",2011,0
"76945","Adrian Peterson",2011,1
"76946","Adrian Peterson",2011,19
"76947","Adrian Peterson",2011,9
"76948","Adrian Peterson",2011,1
"76949","Adrian Peterson",2011,6
"76950","Adrian Peterson",2011,5
"76951","Adrian Peterson",2011,-3
"76952","Adrian Peterson",2011,9
"76953","Adrian Peterson",2011,5
"76954","Adrian Peterson",2011,4
"76955","Adrian Peterson",2011,-1
"76956","Adrian Peterson",2011,7
"76957","Adrian Peterson",2011,4
"76958","Adrian Peterson",2011,3
"76959","Adrian Peterson",2011,1
"76960","Adrian Peterson",2011,4
"76961","Adrian Peterson",2011,43
"76962","Adrian Peterson",2011,0
"76963","Adrian Peterson",2011,7
"76964","Adrian Peterson",2011,6
"76965","Adrian Peterson",2011,1
"76966","Adrian Peterson",2011,1
"76967","Adrian Peterson",2011,6
"76968","Adrian Peterson",2011,1
"76969","Adrian Peterson",2011,0
"76970","Adrian Peterson",2011,2
"76971","Adrian Peterson",2011,6
"76972","Adrian Peterson",2011,-1
"76973","Adrian Peterson",2011,2
"76974","Adrian Peterson",2011,-4
"76975","Adrian Peterson",2011,4
"76976","Adrian Peterson",2011,3
"76977","Adrian Peterson",2011,14
"76978","Adrian Peterson",2011,5
"76979","Adrian Peterson",2011,7
"76980","Adrian Peterson",2011,1
"76981","Adrian Peterson",2011,5
"76982","Adrian Peterson",2011,4
"76983","Adrian Peterson",2011,4
"76984","Adrian Peterson",2011,-2
"76985","Adrian Peterson",2011,-1
"76986","Adrian Peterson",2011,3
"76987","Adrian Peterson",2011,5
"76988","Adrian Peterson",2011,1
"76989","Adrian Peterson",2011,4
"76990","Adrian Peterson",2011,4
"76991","Adrian Peterson",2011,1
"76992","Adrian Peterson",2011,0
"76993","Adrian Peterson",2011,6
"76994","Adrian Peterson",2011,1
"76995","Adrian Peterson",2011,6
"76996","Adrian Peterson",2011,0
"76997","Adrian Peterson",2011,5
"76998","Adrian Peterson",2011,4
"76999","Adrian Peterson",2011,11
"77000","Adrian Peterson",2011,3
"77001","Adrian Peterson",2011,4
"77002","Adrian Peterson",2011,24
"77003","Adrian Peterson",2011,1
"77004","Adrian Peterson",2011,0
"77005","Adrian Peterson",2011,-2
"77006","Adrian Peterson",2011,14
"77007","Adrian Peterson",2011,1
"77008","Adrian Peterson",2011,3
"77009","Adrian Peterson",2011,11
"77010","Adrian Peterson",2011,12
"77011","Adrian Peterson",2011,1
"77012","Adrian Peterson",2011,6
"77013","Adrian Peterson",2011,6
"77014","Adrian Peterson",2011,1
"77015","Adrian Peterson",2011,-1
"77016","Adrian Peterson",2011,-1
"77017","Adrian Peterson",2011,3
"77018","Adrian Peterson",2011,0
"77019","Adrian Peterson",2011,-1
"77020","Adrian Peterson",2011,5
"77021","Adrian Peterson",2011,6
"77022","Adrian Peterson",2011,2
"77023","Adrian Peterson",2011,4
"77024","Adrian Peterson",2011,3
"77025","Adrian Peterson",2011,0
"77026","Adrian Peterson",2011,2
"77027","Adrian Peterson",2011,1
"77028","Adrian Peterson",2011,2
"77029","Adrian Peterson",2011,5
"77030","Adrian Peterson",2011,0
"77031","Adrian Peterson",2011,4
"77032","Adrian Peterson",2011,2
"77033","Adrian Peterson",2011,3
"77034","Adrian Peterson",2011,-1
"77035","Adrian Peterson",2011,8
"77036","Adrian Peterson",2011,8
"77037","Adrian Peterson",2011,4
"77038","Adrian Peterson",2011,3
"77039","Adrian Peterson",2011,-1
"77040","Adrian Peterson",2011,4
"77041","Adrian Peterson",2011,9
"77042","Adrian Peterson",2011,2
"77043","Adrian Peterson",2011,1
"77044","Adrian Peterson",2011,11
"77045","Adrian Peterson",2011,1
"77046","Adrian Peterson",2011,10
"77047","Adrian Peterson",2011,1
"77048","Adrian Peterson",2011,2
"77049","Adrian Peterson",2011,29
"77050","Adrian Peterson",2011,5
"77051","Adrian Peterson",2011,-1
"77052","Adrian Peterson",2011,5
"77053","Adrian Peterson",2011,6
"77054","Adrian Peterson",2011,25
"77055","Adrian Peterson",2011,54
"77056","Adrian Peterson",2011,-5
"77057","Adrian Peterson",2011,3
"77058","Adrian Peterson",2011,1
"77059","Adrian Peterson",2011,3
"77060","Adrian Peterson",2011,7
"77061","Adrian Peterson",2011,3
"77062","Adrian Peterson",2011,0
"77063","Adrian Peterson",2011,0
"77064","Adrian Peterson",2011,-5
"77065","Adrian Peterson",2011,2
"77066","Adrian Peterson",2011,2
"77067","Adrian Peterson",2011,1
"77068","Adrian Peterson",2011,0
"77069","Adrian Peterson",2011,4
"77070","Adrian Peterson",2011,10
"77071","Adrian Peterson",2011,9
"77072","Adrian Peterson",2011,15
"77073","Adrian Peterson",2011,1
"77074","Adrian Peterson",2011,9
"77075","Adrian Peterson",2011,-1
"77076","Adrian Peterson",2011,9
"77077","Adrian Peterson",2011,6
"77078","Adrian Peterson",2011,2
"77079","Adrian Peterson",2011,1
"77080","Adrian Peterson",2011,5
"77081","Adrian Peterson",2011,1
"77082","Adrian Peterson",2011,12
"77083","Adrian Peterson",2011,3
"77084","Adrian Peterson",2011,2
"77085","Adrian Peterson",2011,1
"77086","Adrian Peterson",2011,5
"77087","Adrian Peterson",2011,3
"77088","Adrian Peterson",2011,13
"77089","Adrian Peterson",2011,1
"77090","Adrian Peterson",2011,6
"77091","Adrian Peterson",2011,0
"77092","Adrian Peterson",2011,9
"77093","Adrian Peterson",2011,6
"77094","Adrian Peterson",2011,-6
"77095","Adrian Peterson",2011,3
"77096","Adrian Peterson",2011,8
"77097","Adrian Peterson",2011,0
"77098","Adrian Peterson",2011,2
"77099","Adrian Peterson",2011,8
"77100","Adrian Peterson",2011,-1
"77101","Adrian Peterson",2011,-7
"77102","Adrian Peterson",2011,12
"77103","Adrian Peterson",2011,12
"77104","Adrian Peterson",2011,1
"77105","Adrian Peterson",2011,8
"77106","Adrian Peterson",2011,-6
"77107","Adrian Peterson",2011,8
"77108","Adrian Peterson",2011,1
"77109","Adrian Peterson",2011,39
"77110","Adrian Peterson",2011,2
"77111","Adrian Peterson",2011,3
"77112","Adrian Peterson",2011,9
"77113","Adrian Peterson",2011,-5
"77114","Adrian Peterson",2011,5
"77115","Adrian Peterson",2011,0
"77116","Adrian Peterson",2011,4
"77117","Adrian Peterson",2011,-2
"77118","Adrian Peterson",2011,4
"77119","Adrian Peterson",2011,2
"77120","Adrian Peterson",2011,2
"77121","Adrian Peterson",2011,0
"77122","Adrian Peterson",2011,1
"77123","Adrian Peterson",2011,7
"77124","Adrian Peterson",2011,12
"77125","Adrian Peterson",2011,3
"55589","Adrian Peterson",2012,4
"55590","Adrian Peterson",2012,9
"55591","Adrian Peterson",2012,-2
"55592","Adrian Peterson",2012,-1
"55593","Adrian Peterson",2012,8
"55594","Adrian Peterson",2012,2
"55595","Adrian Peterson",2012,3
"55596","Adrian Peterson",2012,19
"55597","Adrian Peterson",2012,4
"55598","Adrian Peterson",2012,2
"55599","Adrian Peterson",2012,5
"55600","Adrian Peterson",2012,1
"55601","Adrian Peterson",2012,1
"55602","Adrian Peterson",2012,3
"55603","Adrian Peterson",2012,10
"55604","Adrian Peterson",2012,20
"55605","Adrian Peterson",2012,-4
"55606","Adrian Peterson",2012,5
"55607","Adrian Peterson",2012,5
"55608","Adrian Peterson",2012,6
"55609","Adrian Peterson",2012,5
"55610","Adrian Peterson",2012,3
"55611","Adrian Peterson",2012,6
"55612","Adrian Peterson",2012,6
"55613","Adrian Peterson",2012,5
"55614","Adrian Peterson",2012,5
"55615","Adrian Peterson",2012,1
"55616","Adrian Peterson",2012,2
"55617","Adrian Peterson",2012,4
"55618","Adrian Peterson",2012,4
"55619","Adrian Peterson",2012,3
"55620","Adrian Peterson",2012,1
"55621","Adrian Peterson",2012,-1
"55622","Adrian Peterson",2012,4
"55623","Adrian Peterson",2012,0
"55624","Adrian Peterson",2012,3
"55625","Adrian Peterson",2012,3
"55626","Adrian Peterson",2012,3
"55627","Adrian Peterson",2012,5
"55628","Adrian Peterson",2012,1
"55629","Adrian Peterson",2012,0
"55630","Adrian Peterson",2012,0
"55631","Adrian Peterson",2012,2
"55632","Adrian Peterson",2012,1
"55633","Adrian Peterson",2012,7
"55634","Adrian Peterson",2012,3
"55635","Adrian Peterson",2012,-3
"55636","Adrian Peterson",2012,4
"55637","Adrian Peterson",2012,4
"55638","Adrian Peterson",2012,5
"55639","Adrian Peterson",2012,3
